trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,Y,J,0,0.3564817359253105,0.46674203815940923,0.4184381810561124,0.7116726241282686,0
1,Y,Y,K,1,0.3857987126760595,0.4621227110420832,0.4391117090002265,0.6980038020341279,0
2,Y,X,F,0,0.3561196913214396,0.4042858864681609,0.4359226566241461,0.6971828901106182,0
3,Y,X,D,0,0.34503329681580447,0.387615890005607,0.4697396337784049,0.7217634025230335,0
4,Y,Y,K,1,0.3381315361855886,0.3477231136982941,0.45584343917587267,0.7267433970476777,0
5,Y,Y,K,0,0.38092955725664523,0.3311838378788734,0.47558585060276887,0.7349772898383797,0
6,Y,Y,K,1,0.4086075863782846,0.32712020155874877,0.4460027530046903,0.7384856115798887,0
7,Y,Y,K,1,0.40344103781788604,0.3148507256404999,0.4248736437985353,0.75,0
8,Y,Y,K,0,0.3762643458336862,0.31069136358669414,0.38495969820516684,0.736999827345077,0
9,Y,Y,K,0,0.3244083736155682,0.3259195752450942,0.3824806462165408,0.7215818947473426,0
10,Y,Y,K,1,0.28824256567432444,0.346842464097015,0.39541043446046625,0.7439538538424026,0
11,Y,Y,K,1,0.32795539877184626,0.2899453340661975,0.3485655454969302,0.75,0
12,Y,Y,K,1,0.3222425219038144,0.2837448928459611,0.35099825993052153,0.7427706084289913,0
13,Y,Y,K,1,0.312237944540677,0.3090371269945415,0.3262825288872625,0.7335462680790868,0
14,Y,Y,K,1,0.30530662693543603,0.3170031806803474,0.3235862926997217,0.7217028518695328,0
15,Y,Y,K,0,0.27396891458227146,0.33678120305318565,0.36127482132683897,0.712302822000892,0
16,Y,Y,K,0,0.25,0.29178042202944826,0.32955285367156867,0.6758770147043589,0
17,Y,X,D,0,0.25,0.3023201312180101,0.29789549291430256,0.6376579686016661,0
18,Y,Y,K,1,0.2802127299310174,0.35343141302101216,0.2745322979957574,0.6580771294340321,0
19,Y,Y,K,1,0.25,0.4082611221866842,0.29653505541311914,0.6755495234703708,0
0,X,X,D,0,0.44817185983285523,0.47426315050779866,0.5954998496036048,0.6115677503507728,1
1,Y,X,F,1,0.4333040318265442,0.4621298668760735,0.6094066236030278,0.5945286333698817,1
2,Y,Y,K,1,0.4682644719693393,0.435142639918813,0.5586093773880051,0.5757164441464477,1
3,Y,X,F,1,0.46490285939388937,0.42502425940012784,0.5584731108088278,0.5545150447674558,1
4,Y,Y,K,1,0.47773918111457286,0.45384274385963796,0.6045455442114849,0.5272139227138846,1
5,Y,Y,K,1,0.49164595098986796,0.45934324679275773,0.5968300116845127,0.5243335605228936,1
6,Y,Y,K,0,0.48971087638705457,0.4817650814642762,0.5718015128937399,0.5253641894734491,1
7,Y,Y,J,1,0.5028680407884426,0.47691158588414406,0.5727413837983465,0.5520141397840688,1
8,Y,Y,J,0,0.5368958433845815,0.4818747473367727,0.5305482932041641,0.5958719612652208,1
9,Y,Y,K,1,0.5562355207428807,0.5076840661044686,0.5215078923889456,0.5818580125055439,1
10,Y,Y,K,0,0.5541619316938419,0.5248472533525913,0.5430519291975369,0.5903767328125059,1
11,Y,X,F,0,0.5661626390984789,0.5485282850017936,0.5371749065595703,0.5903049437623412,1
12,Y,Y,J,1,0.5656826617823102,0.5253885250799549,0.5238318114043888,0.5766835702256946,1
13,Y,X,F,1,0.5476669516410788,0.5104693684676243,0.489477917112475,0.5927110017703624,1
14,Y,Y,J,0,0.5503415284401298,0.46922761327643736,0.498438699716543,0.5736709543789719,1
15,Y,Y,K,1,0.5182754335197972,0.47398302723688857,0.51774833906287,0.569137340987768,1
16,Y,X,F,1,0.5045297320080211,0.4750015834995071,0.5145375840034534,0.5658675129216403,1
17,Y,Y,K,1,0.5116205970020641,0.46099167472032815,0.5200904041550166,0.5639890802915487,1
18,Y,X,F,0,0.48454228077762956,0.48438999415782585,0.51245500117407,0.5349901850325394,1
19,Y,Y,K,1,0.42279091580052425,0.4689151783606236,0.5430119587151307,0.5169474270138212,1
0,X,X,D,1,0.5032737907788509,0.27526940792141213,0.5393255839696751,0.6350444316462389,2
1,Y,Y,K,1,0.500882318834017,0.2641330010410717,0.5593017994653593,0.6282869539882695,2
2,Y,Y,K,1,0.4950619382346674,0.25,0.5523133244100379,0.6389480148014153,2
3,Y,X,D,0,0.4748825291385158,0.25,0.560220955337231,0.622824747583025,2
4,Y,Y,K,1,0.49375933256918203,0.31918551869161527,0.6051277002498199,0.6212475397660528,2
5,Y,Y,K,1,0.5061918696801314,0.253649701917305,0.6007516294220472,0.6654865124989116,2
6,Y,Y,K,1,0.5072680497579599,0.2724608605146714,0.6081452612527538,0.6565179359801093,2
7,Y,X,F,1,0.5250178267358216,0.30350131212863185,0.6447576109337608,0.6925778067803134,2
8,Y,Y,K,1,0.5664823513805846,0.25,0.6270424175186662,0.6666738679664586,2
9,Y,Y,K,1,0.5640594278178899,0.26599820710411126,0.6631642561043003,0.6508349794102762,2
10,Y,Y,K,1,0.5683141567073013,0.25484786839667684,0.6467481980905511,0.647410894711919,2
11,Y,X,F,0,0.5745917458316655,0.2556693883944967,0.6649279219099945,0.6686121559096195,2
12,Y,Y,K,1,0.5470994383124361,0.2616494378496643,0.6966740859564372,0.6436742758175283,2
13,Y,X,D,0,0.5713463168995144,0.27875481612803266,0.7155365593808839,0.6022826854371055,2
14,Y,Y,K,1,0.5949910052041818,0.25,0.75,0.6033704721600419,2
15,Y,Y,K,1,0.5391622096886806,0.26286468027449905,0.75,0.6126606479278478,2
16,Y,X,D,0,0.5522688180152037,0.2999892888519246,0.729450624620235,0.5915324231681472,2
17,Y,Y,K,1,0.5426203334553555,0.25,0.7042128143173103,0.6004576602612963,2
18,Y,Y,K,1,0.564374064516823,0.25,0.696809353043221,0.6153214352392978,2
19,Y,Y,K,0,0.5691653813930468,0.25,0.7330879983183435,0.5765834113390251,2
0,X,X,D,1,0.4467316109705229,0.27391342426643195,0.34519371641688923,0.44216600314000687,3
1,Y,Y,K,0,0.45839590016360676,0.2731138089908849,0.3476391512673844,0.43785939418752995,3
2,X,X,D,0,0.48995633777678965,0.30972787803058904,0.2893412968099886,0.4539753802915035,3
3,Y,Y,J,0,0.4761849979434981,0.31014540597280454,0.27564683582976834,0.45489990884577525,3
4,X,Y,K,1,0.4793942087596631,0.30088335263185517,0.2576683313755632,0.4196343488339723,3
5,Y,X,D,0,0.5116705772332101,0.27185270082216617,0.279592102936429,0.44275913431280556,3
6,Y,Y,K,1,0.5056019813068254,0.2547127799920845,0.32356331051973164,0.44095507371710746,3
7,Y,Y,K,0,0.5184225724808413,0.25,0.3137670952352182,0.39657457655235095,3
8,Y,X,D,1,0.5105157351424788,0.2940681549759588,0.3190825865352967,0.39189893809087273,3
9,X,X,D,1,0.534202837953909,0.31335032396249624,0.2974394636082455,0.41283042612816767,3
10,X,Y,K,0,0.5297130326890446,0.2841903939815687,0.3358942749453588,0.3502008738209715,3
11,X,Y,K,0,0.5275398145681809,0.3070674303739193,0.3787360904195027,0.36952539256432204,3
12,X,Y,J,0,0.48178311753802355,0.3477799241284507,0.3634361361964326,0.3865500363209245,3
13,X,X,D,0,0.49499930327378855,0.37539980000389667,0.35756288336652475,0.35971332926609284,3
14,Y,Y,K,0,0.4794304501315951,0.37993125369728387,0.40732338897344694,0.3542700252468315,3
15,X,Y,J,0,0.4963985085383969,0.4208263828878443,0.4239212272946169,0.3179716416964213,3
16,Y,X,D,0,0.5243520060630356,0.41289277702084504,0.38656731736980987,0.31169319589857575,3
17,Y,X,D,1,0.5456919114922089,0.43673515512505856,0.4208312765581976,0.268148482902965,3
18,X,X,D,1,0.507377279700305,0.39188769442143295,0.4500657742230248,0.29720992009478675,3
19,X,Y,K,0,0.43935376647286334,0.3569562889621738,0.4374125243352051,0.3001455003421882,3
0,X,X,D,1,0.5811983937101663,0.7364763565974368,0.33042864427177643,0.3852781104572289,4
1,Y,Y,K,1,0.5837798110912191,0.733243790371001,0.31374645418141456,0.4028887174248535,4
2,Y,Y,K,1,0.5737195482350084,0.75,0.3377158372735886,0.3942568594455824,4
3,Y,X,F,1,0.5849715610103879,0.75,0.33549076969643,0.37801299132604954,4
4,Y,X,F,1,0.5730429417580543,0.75,0.351009324120107,0.3445053437465535,4
5,X,X,F,1,0.591693513620307,0.75,0.28876934012204736,0.3387692168933802,4
6,X,X,F,1,0.6128136750730878,0.75,0.2828362728562067,0.30847270445098945,4
7,X,X,F,1,0.5925892874863848,0.716113353327457,0.29924662419755016,0.31479738687716186,4
8,X,Y,J,1,0.5545219843055188,0.7168981588429669,0.29826188546350013,0.3037623810137707,4
9,Y,Y,J,0,0.5719635059862073,0.7291365726377679,0.2795930214380201,0.2688402393570539,4
10,X,X,F,1,0.5911596705029809,0.7386927136395964,0.26132621181462395,0.28175044868316296,4
11,X,X,F,0,0.6233375421506822,0.6799851093744059,0.3179355838354998,0.25,4
12,Y,Y,K,0,0.6137661824318625,0.6542356619543684,0.343109458383745,0.27843622798292916,4
13,X,X,D,1,0.6061519231209314,0.6473313554199626,0.33622415594869876,0.2935302639296088,4
14,X,X,D,1,0.6415193459114,0.6126691085835198,0.3817417938948461,0.31112601720127087,4
15,X,X,D,0,0.6398494166060379,0.6148856684542513,0.3399139077133954,0.25,4
16,Y,Y,J,0,0.6418295744133634,0.6104607910101243,0.3427867060700434,0.25,4
17,X,X,D,1,0.6094827799816817,0.5892991439590465,0.32153737703210217,0.25,4
18,X,X,D,1,0.6229941513580166,0.6135112510954438,0.31249624911855167,0.25,4
19,X,X,D,1,0.6118307884547758,0.5726561390793464,0.31098261855829984,0.26822783642069403,4
0,X,Y,J,0,0.6415350965743118,0.6507357895864032,0.4495811317186084,0.6242898708689688,5
1,Y,Y,K,1,0.5895940828984818,0.657139802342091,0.46226545070278774,0.6529924737745012,5
2,Y,X,D,1,0.5700543347781296,0.6692484524576515,0.4777596624306621,0.6661573313495291,5
3,Y,Y,K,0,0.5985005905454189,0.6593997861030477,0.4682693841842235,0.6603426879566102,5
4,X,X,D,0,0.6343537361534186,0.6500001228413664,0.4486346008762866,0.6171443348939825,5
5,Y,Y,K,1,0.6699020340333605,0.6742537316895881,0.4848817116531496,0.596912723412208,5
6,Y,Y,K,1,0.6564381127146789,0.6580235189384659,0.4879597062154579,0.6400682597130181,5
7,Y,Y,K,0,0.65646135755528,0.5942000900304324,0.4447566973372941,0.6303095971691223,5
8,Y,Y,K,1,0.6657434399362369,0.5766892356432631,0.44183432426820557,0.603081336425747,5
